Date / Time,CPU Usage %,Temperature C
2023-03-28 13:42:59.366296,9,48.7
2023-03-28 13:43:09.978006,0.7,47.7
2023-03-28 13:43:20.534682,0.4,45.7
2023-03-28 13:43:31.208791,0.3,45.7
2023-03-28 13:43:41.806863,0.2,45.7
2023-03-28 13:43:52.344339,0.3,44.8
2023-03-28 13:44:03.046698,0.3,45.2
2023-03-28 13:44:13.595458,0.8,44.8
2023-03-28 13:44:24.072437,0.2,45.7
2023-03-28 13:44:34.593956,0.2,46.2
2023-03-28 13:44:45.191231,0.3,45.7
2023-03-28 13:44:55.681841,0.4,44.3
2023-03-28 13:45:06.150007,0.8,44.8
2023-03-28 13:45:16.664933,0.2,44.8
2023-03-28 13:45:27.397405,0.3,46.2
2023-03-28 13:45:37.932349,0.2,45.2
2023-03-28 13:45:48.424863,0.3,45.7
2023-03-28 13:45:58.914214,0.4,44.8
2023-03-28 13:46:09.379714,0.8,46.2
2023-03-28 13:46:19.917023,0.4,44.8
2023-03-28 13:46:30.550023,0.3,44.8
2023-03-28 13:46:41.092349,0.3,44.3
2023-03-28 13:46:51.571705,0.4,44.8
2023-03-28 13:47:02.087284,0.4,44.8
2023-03-28 13:47:12.557631,0.8,44.8
2023-03-28 13:47:23.036553,0.2,44.8
2023-03-28 13:47:33.514069,0.3,44.8
2023-03-28 13:47:44.056690,0.2,45.2
2023-03-28 13:47:54.513256,0.3,44.8
2023-03-28 13:48:04.986290,0.8,45.2
2023-03-28 13:48:15.473379,0.2,45.2
2023-03-28 13:48:25.941680,0.3,45.2
2023-03-28 13:48:36.383438,0.3,45.2
2023-03-28 13:48:46.843564,0.2,43.3
2023-03-28 13:48:57.478007,0.4,45.7
2023-03-28 13:49:08.001918,0.8,46.7
2023-03-28 13:49:18.441195,0.2,45.2
2023-03-28 13:49:28.942685,0.3,45.2
2023-03-28 13:49:39.406256,0.2,44.3
2023-03-28 13:49:49.994209,0.3,45.7
2023-03-28 13:50:00.511516,0.4,45.2
2023-03-28 13:50:11.035603,0.7,46.2
2023-03-28 13:50:21.518608,0.3,45.2
2023-03-28 13:50:32.039085,0.3,44.8
2023-03-28 13:50:42.651157,0.2,43.8
2023-03-28 13:50:53.114905,0.4,45.2
2023-03-28 13:51:03.605778,0.4,44.8
2023-03-28 13:51:14.167444,0.6,45.2
2023-03-28 13:51:24.650592,0.4,44.8
2023-03-28 13:51:35.138688,0.3,44.8
2023-03-28 13:51:45.631505,0.3,45.7
2023-03-28 13:51:56.093580,0.4,44.3
2023-03-28 13:52:06.684263,3.2,46.2
2023-03-28 13:52:17.193702,15.3,47.2
2023-03-28 13:52:27.666558,5,46.2
2023-03-28 13:52:38.121104,13,46.7
2023-03-28 13:52:48.817294,10.2,44.8
2023-03-28 13:52:59.292029,11.2,46.7
2023-03-28 13:53:09.733257,10.6,46.7
2023-03-28 13:53:20.199651,14.9,46.2
2023-03-28 13:53:30.678012,11.8,46.7
2023-03-28 13:53:41.132260,13.6,46.7
2023-03-28 13:53:51.581965,13.7,46.2
2023-03-28 13:54:02.082460,13.6,46.2
2023-03-28 13:54:12.534603,8.8,46.2
2023-03-28 13:54:22.982236,12.6,46.7
2023-03-28 13:54:33.528512,9.2,46.7
2023-03-28 13:54:43.995427,11.4,47.2
2023-03-28 13:54:54.509786,13.1,45.7
2023-03-28 13:55:04.982656,14.9,46.2
2023-03-28 13:55:15.448234,11.5,46.2
2023-03-28 13:55:26.068227,10.6,46.7
2023-03-28 13:55:36.583155,11,46.7
2023-03-28 13:55:47.060379,10.6,46.7
2023-03-28 13:55:57.534564,10.9,46.7
2023-03-28 13:56:08.098476,10.4,47.2
2023-03-28 13:56:18.603635,10.6,46.7
2023-03-28 13:56:29.072525,13.7,46.7
2023-03-28 13:56:39.542604,12.8,46.7
2023-03-28 13:56:50.044140,12.5,46.7
2023-03-28 13:57:00.534037,12.3,47.2
2023-03-28 13:57:10.992259,10.5,46.7
2023-03-28 13:57:21.469023,14.3,45.7
2023-03-28 13:57:31.987394,11.5,46.7
2023-03-28 13:57:42.440556,10,46.2
2023-03-28 13:57:52.907425,13.7,46.7
2023-03-28 13:58:03.342975,11.3,46.7
2023-03-28 13:58:13.824719,9.1,47.2
2023-03-28 13:58:24.360274,12.7,46.7
2023-03-28 13:58:34.959958,13.8,47.2
2023-03-28 13:58:45.420244,13.9,46.7
2023-03-28 13:58:55.900228,12,46.7
2023-03-28 13:59:06.344235,13.4,47.2
2023-03-28 13:59:16.815223,11,47.2
2023-03-28 13:59:27.312710,12.5,46.2
2023-03-28 13:59:37.872310,10.8,46.2
2023-03-28 13:59:48.388922,12.8,47.7
2023-03-28 13:59:59.218232,12.7,47.7
2023-03-28 14:00:09.767554,13.4,48.2
2023-03-28 14:00:20.223597,11,46.7
2023-03-28 14:00:30.701612,12.8,47.2
2023-03-28 14:00:41.265748,12.1,46.7
2023-03-28 14:00:51.766219,13,47.2
2023-03-28 14:01:02.278655,11.2,47.7
2023-03-28 14:01:12.804809,7.5,47.7
2023-03-28 14:01:23.270686,10.8,47.7
2023-03-28 14:01:33.825612,10.8,47.2
2023-03-28 14:01:44.334460,12,47.2
2023-03-28 14:01:54.797041,10.8,46.2
2023-03-28 14:02:05.268804,9.1,47.7
2023-03-28 14:02:15.705253,6.8,46.7
2023-03-28 14:02:26.216721,10.7,46.7
2023-03-28 14:02:36.671014,7.8,47.7
2023-03-28 14:02:47.248080,7.9,46.2
2023-03-28 14:02:57.859719,12,46.2
2023-03-28 14:03:08.358920,8.2,47.7
2023-03-28 14:03:18.894452,8,45.7
2023-03-28 14:03:29.606460,7,46.2
2023-03-28 14:03:40.299154,7.2,45.7
2023-03-28 14:03:50.869105,8.6,46.7
2023-03-28 14:04:01.334596,9.9,46.2
2023-03-28 14:04:11.833162,8.1,46.7
2023-03-28 14:04:22.292294,9.9,46.2
2023-03-28 14:04:32.782664,10.1,47.2
2023-03-28 14:04:43.342500,10.1,46.7
2023-03-28 14:04:53.876323,8.5,46.7
2023-03-28 14:05:04.411901,10.5,47.2
2023-03-28 14:05:14.885337,9,47.7
2023-03-28 14:05:25.466933,10.7,46.7
2023-03-28 14:05:35.936239,11,46.7
2023-03-28 14:05:46.420778,10.5,46.2
2023-03-28 14:05:56.901425,8.5,46.7
2023-03-28 14:06:07.396341,8.8,47.7
2023-03-28 14:06:17.828272,8.9,46.7
2023-03-28 14:06:28.312304,7.7,47.7
2023-03-28 14:06:38.790502,9.5,45.7
2023-03-28 14:06:49.326762,11.6,46.7
2023-03-28 14:06:59.803034,11.5,45.7
2023-03-28 14:07:10.285584,11.3,46.7
2023-03-28 14:07:20.805750,12.9,45.7
2023-03-28 14:07:31.314184,12.2,45.7
2023-03-28 14:07:41.793067,12.4,46.2
2023-03-28 14:07:52.263758,13.5,46.7
2023-03-28 14:08:02.725537,14,46.2
2023-03-28 14:08:13.188534,11,46.7
2023-03-28 14:08:23.712262,13.3,47.2
2023-03-28 14:08:34.209419,13.9,46.7
2023-03-28 14:08:44.698582,13.7,47.2
2023-03-28 14:08:55.186235,12.6,47.2
2023-03-28 14:09:05.672534,11.5,47.7
2023-03-28 14:09:16.135834,13.8,47.2
2023-03-28 14:09:26.618492,12.6,47.2
2023-03-28 14:09:37.124289,10.1,46.7
2023-03-28 14:09:47.578138,12.7,47.2
2023-03-28 14:09:58.067335,12.9,46.7
2023-03-28 14:10:08.537343,9.3,47.7
2023-03-28 14:10:18.999751,13.7,47.2
2023-03-28 14:10:29.438971,14.5,47.2
2023-03-28 14:10:39.987910,14.6,47.7
2023-03-28 14:10:50.444271,11.4,46.7
2023-03-28 14:11:00.914096,13.2,46.2
2023-03-28 14:11:11.348775,8.8,47.7
2023-03-28 14:11:21.803288,11.4,47.7
2023-03-28 14:11:32.246886,9.7,46.7
2023-03-28 14:11:42.745421,11.9,46.7
2023-03-28 14:11:53.197812,11.7,46.7
2023-03-28 14:12:03.664767,11.1,47.7
2023-03-28 14:12:14.148277,10.8,46.7
2023-03-28 14:12:24.696349,11,46.2
2023-03-28 14:12:35.194229,12.9,47.2
2023-03-28 14:12:45.636258,10.9,46.7
2023-03-28 14:12:56.106052,12.5,47.2
2023-03-28 14:13:06.668794,11.3,47.2
2023-03-28 14:13:17.144298,9.8,47.2
2023-03-28 14:13:27.664532,11.6,47.7
2023-03-28 14:13:38.188392,14.4,47.7
2023-03-28 14:13:48.650465,12.8,47.2
2023-03-28 14:13:59.202931,13.5,46.7
2023-03-28 14:14:09.759789,11,48.2
2023-03-28 14:14:20.234988,10.6,47.2
2023-03-28 14:14:30.709606,13.6,47.2
2023-03-28 14:14:41.218022,10.9,47.7
2023-03-28 14:14:51.702829,14,47.7
2023-03-28 14:15:02.156292,14.6,46.7
2023-03-28 14:15:12.610000,10.2,46.7
2023-03-28 14:15:23.200288,10.2,47.2
2023-03-28 14:15:33.710749,9.8,47.2
2023-03-28 14:15:44.216265,13.6,47.2
2023-03-28 14:15:54.708666,11.8,47.2
2023-03-28 14:16:05.307323,12.6,47.2
2023-03-28 14:16:15.794661,8.9,46.2
2023-03-28 14:16:26.259933,10.6,48.2
2023-03-28 14:16:36.767033,13.3,47.2
2023-03-28 14:16:47.241056,12.5,47.2
2023-03-28 14:16:57.710201,14.4,48.7
2023-03-28 14:17:08.212197,11.5,47.7
2023-03-28 14:17:18.653007,13.6,47.2
2023-03-28 14:17:29.116929,15.7,47.7
2023-03-28 14:17:39.609642,13.6,47.2
2023-03-28 14:17:50.101042,14.2,47.2
2023-03-28 14:18:00.548746,12.6,47.2
2023-03-28 14:18:11.035464,11.2,47.7
2023-03-28 14:18:21.617747,14.5,47.7
2023-03-28 14:18:32.186306,13.2,47.2
2023-03-28 14:18:42.660646,12.2,47.7
2023-03-28 14:18:53.194041,11,47.2
2023-03-28 14:19:03.640279,12.9,46.7
2023-03-28 14:19:14.112744,10.1,47.2
2023-03-28 14:19:24.650228,10,46.7
2023-03-28 18:40:34.736842,6.4,49.1
2023-03-28 18:41:19.781143,8.5,50.1
2023-03-28 18:42:55.192444,8.8,50.6
2023-03-28 18:43:06.028521,1.8,50.1
2023-03-28 18:43:16.777489,1.1,49.6
2023-03-28 18:44:41.662082,8.3,50.6
2023-03-28 18:44:52.550117,1.1,50.6
2023-03-28 18:45:03.321572,1.3,50.1
2023-03-28 18:46:50.212863,8.1,50.6
2023-03-28 18:47:01.184077,1.1,50.6
2023-03-28 18:47:12.130062,1.3,49.6
2023-03-28 18:47:23.064514,0.8,50.1
2023-03-28 18:47:33.780269,0.7,49.6
2023-03-28 18:47:44.592976,0.6,50.1
2023-03-28 18:47:55.142425,0.8,50.1
